epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,504.376,1.30681,0.68117,0.81992,0.79498,0.61068,0.65631,0.40984,1.22034,0.61579,0.80788,0.0002152,0.0002152,0.0002152
142,507.905,1.36549,0.69531,0.82733,0.79169,0.612,0.65999,0.40813,1.25472,0.62108,0.80982,0.00021388,0.00021388,0.00021388
143,511.453,1.32955,0.68935,0.82514,0.79846,0.60647,0.65656,0.40978,1.23984,0.62059,0.80937,0.00021256,0.00021256,0.00021256
144,515.078,1.32716,0.67525,0.82033,0.79978,0.60784,0.65245,0.40875,1.20418,0.61451,0.80674,0.00021124,0.00021124,0.00021124
145,518.684,1.34085,0.69735,0.82477,0.81369,0.6118,0.66031,0.41099,1.2222,0.61302,0.80698,0.00020992,0.00020992,0.00020992
146,522.298,1.32344,0.68056,0.82174,0.80382,0.61334,0.65695,0.4106,1.20778,0.60834,0.80634,0.0002086,0.0002086,0.0002086
147,525.728,1.35587,0.68429,0.82178,0.8026,0.61657,0.65461,0.4109,1.19513,0.61192,0.80628,0.00020728,0.00020728,0.00020728
148,529.307,1.34685,0.6867,0.82035,0.79905,0.61783,0.65987,0.41176,1.21614,0.61396,0.80718,0.00020596,0.00020596,0.00020596
149,532.849,1.36932,0.69972,0.81757,0.79439,0.61162,0.6575,0.40957,1.2105,0.61191,0.80694,0.00020464,0.00020464,0.00020464
150,536.329,1.35886,0.6926,0.82343,0.81835,0.61231,0.66267,0.40309,1.29403,0.6297,0.81035,0.00020332,0.00020332,0.00020332
151,539.804,1.28886,0.66852,0.81629,0.80728,0.61318,0.6634,0.41367,1.20126,0.61245,0.80553,0.000202,0.000202,0.000202
152,543.387,1.36635,0.71262,0.83079,0.82469,0.60856,0.67019,0.41601,1.23557,0.62006,0.80722,0.00020068,0.00020068,0.00020068
153,546.974,1.35557,0.68462,0.82069,0.81692,0.61256,0.67295,0.41764,1.21468,0.60451,0.80589,0.00019936,0.00019936,0.00019936
154,550.64,1.34364,0.6876,0.82287,0.81887,0.61426,0.66278,0.41532,1.21297,0.60682,0.8068,0.00019804,0.00019804,0.00019804
155,554.182,1.34572,0.69028,0.81945,0.83963,0.61911,0.66321,0.41591,1.2229,0.61331,0.80658,0.00019672,0.00019672,0.00019672
156,557.687,1.29021,0.67175,0.8198,0.82609,0.61993,0.67616,0.41632,1.2344,0.6142,0.8067,0.0001954,0.0001954,0.0001954
157,561.332,1.42733,0.70368,0.81591,0.81482,0.62073,0.67244,0.42003,1.19819,0.60585,0.80537,0.00019408,0.00019408,0.00019408
158,564.96,1.38512,0.70225,0.81691,0.79841,0.61255,0.66164,0.40514,1.26859,0.62455,0.80821,0.00019276,0.00019276,0.00019276
159,568.465,1.37088,0.69977,0.82011,0.80678,0.61464,0.66731,0.41553,1.22623,0.61457,0.8069,0.00019144,0.00019144,0.00019144
160,571.982,1.35613,0.68554,0.82314,0.82126,0.6285,0.68098,0.41035,1.2724,0.61505,0.80773,0.00019012,0.00019012,0.00019012
161,575.479,1.33218,0.67685,0.81985,0.81678,0.62731,0.68149,0.42422,1.19707,0.60024,0.80529,0.0001888,0.0001888,0.0001888
162,578.996,1.30507,0.66855,0.818,0.81464,0.62367,0.6774,0.42252,1.2146,0.60306,0.8061,0.00018748,0.00018748,0.00018748
163,582.608,1.35071,0.6727,0.81999,0.8061,0.63255,0.68017,0.42826,1.19475,0.60065,0.80567,0.00018616,0.00018616,0.00018616
164,586.123,1.38169,0.68651,0.8167,0.81652,0.63262,0.68172,0.42627,1.18301,0.59508,0.80431,0.00018484,0.00018484,0.00018484
165,589.519,1.2563,0.66124,0.82152,0.82122,0.63123,0.68185,0.42958,1.17747,0.59335,0.80389,0.00018352,0.00018352,0.00018352
166,593.021,1.3493,0.69545,0.8159,0.82331,0.63152,0.68295,0.43141,1.17802,0.59744,0.80414,0.0001822,0.0001822,0.0001822
167,596.566,1.30333,0.67274,0.81938,0.81781,0.6347,0.68923,0.43337,1.17978,0.59336,0.80434,0.00018088,0.00018088,0.00018088
168,600.133,1.32307,0.68292,0.81566,0.79602,0.64296,0.68969,0.4296,1.1947,0.60459,0.80569,0.00017956,0.00017956,0.00017956
169,603.632,1.31209,0.67806,0.81418,0.80814,0.63826,0.69015,0.4346,1.18299,0.5971,0.80378,0.00017824,0.00017824,0.00017824
170,607.077,1.29259,0.64642,0.81556,0.8021,0.64057,0.69103,0.43092,1.19,0.6027,0.80321,0.00017692,0.00017692,0.00017692
171,610.515,1.3146,0.6773,0.82267,0.81358,0.63869,0.6937,0.43469,1.1769,0.59595,0.80284,0.0001756,0.0001756,0.0001756
172,614.321,1.31277,0.65708,0.81868,0.80524,0.63451,0.68904,0.43138,1.18948,0.59457,0.8049,0.00017428,0.00017428,0.00017428
173,617.734,1.27626,0.65818,0.82043,0.80976,0.63282,0.6947,0.43519,1.18085,0.59392,0.80427,0.00017296,0.00017296,0.00017296
174,621.205,1.24184,0.63656,0.81563,0.81114,0.6367,0.70527,0.44154,1.19157,0.59645,0.80383,0.00017164,0.00017164,0.00017164
175,624.803,1.27884,0.64433,0.81326,0.81829,0.63666,0.70887,0.44434,1.16884,0.58873,0.80289,0.00017032,0.00017032,0.00017032
176,628.26,1.27883,0.66019,0.82032,0.81294,0.64115,0.70396,0.44407,1.17384,0.58802,0.80366,0.000169,0.000169,0.000169
177,631.75,1.23244,0.64269,0.81952,0.81372,0.64339,0.7023,0.44318,1.15826,0.58729,0.80263,0.00016768,0.00016768,0.00016768
178,635.158,1.25947,0.63661,0.8134,0.8224,0.64548,0.7017,0.44155,1.15887,0.58864,0.80288,0.00016636,0.00016636,0.00016636
179,638.661,1.28774,0.65697,0.81762,0.81006,0.64459,0.70387,0.4417,1.17725,0.59142,0.80332,0.00016504,0.00016504,0.00016504
180,642.138,1.26922,0.64468,0.82071,0.81264,0.64099,0.70275,0.43851,1.16907,0.59111,0.80308,0.00016372,0.00016372,0.00016372
181,645.702,1.3046,0.65134,0.81557,0.82559,0.64159,0.70361,0.44347,1.1551,0.58988,0.80213,0.0001624,0.0001624,0.0001624
182,649.234,1.25562,0.65378,0.8139,0.83718,0.63891,0.70864,0.44762,1.17946,0.59036,0.80205,0.00016108,0.00016108,0.00016108
183,652.791,1.29492,0.65698,0.81837,0.85701,0.63345,0.71473,0.45495,1.15484,0.58274,0.80182,0.00015976,0.00015976,0.00015976
